pax	PABGS
accident report	STKORT
maltodextrin	PHAL/TO/TKEBGS/TREUPB
he has	HEZ
quaintness	KWAEUPBT/TPHES, KWAEUPBT/-PBS
humankind	HAOUPL/KAO*EUPBD
moleskin	PHOEL/SKEUPB
razed	RA*EZ/-D, RA*EUZ/-D, RAEZ/-D
Calvin	KAL/SREUPB
windowsill	WEUPBD/OE/SEUL, WO*EUPBD/SEUL, WEUPB/TKOE/SEUL
nominate	TPHOPL/TPHAEUT
plaything	PHRAEU/THEUPBG
canal	KAPBL, KAPB/AL, KA/TPHAL, KA/TPHAPL
imbroglio	EUPL/PWROEL/KWROE
blood count	PWHR-BGT
arborization	AR/PWOR/AOEUZ/AEUGS, AR/PWOR/SA*EUGTS, AR/PWOR/SAEUGS
thermofor	THERPL/TPOR, THER/PHO/TPOR
hypnagogic	HEUP/TPHA/TKPWOPBLG/EUBG, HAOEUP/TPHA/TKPWOG, HEUP/TPHO/TKPWOPBLG/EUBG
marriageable	PHAR/APBLG/-BL, PHAR/RAPBLG/-BL, PHAR/EUPBLG/-BL, PHAEURPBLG/-BL, PHAEUR/EUPBLG/-BL, PHAEUR/REUPBLG/-BL, PHAR/REUPBLG/-BL, PHAEUR/APBLG/-BL
candies	KAPBD/KWREUS
greatly	TKPWRAEUT/HREU, TKPWRAERLT, TKPWRAELT
Pentecostal	PEPBT/KOFT/A*L
meta-analysis	PHO*EUT/AEPBLS
ticketholders	TEUBG/ET/HOELD/ERS, TEUBGT/HOLD/ERS, TEUBG/ET/HOLD/ERS, TEUBGT/HOELD/ERS
intermission	EUPBT/PHEUGS
remote	RE/PHOET, RAOEPLT, ROE/PHOET, RAOE/PHOET
months'	PHOPBT/-S/AE, PHO*PBT/-S/AE
joking	SKWROEG
evaluation	SRAELGS, SR-L/WAEUGS, *EFLGS, AOE/SRAL/WAEUGS, SRAL/WAEUGS, AOEFL/WAEUGS, AOE/SRALGS
autism	AU/TEUFPL, AUT/EUFPL
snooper	STPHAOP/*ER
Woodstock	WAOD/STOBG
litigable	HREUT/TKPWABL
Seurat	SAOUR/AT
Fort Wayne	TPORT/WAEUPB
botanic	PWOE/TAPB/EUBG
ciclosporin	SOEUBG/SPOR/*EUPB
scrambled	SKAPL/-BLD, SKRAPL/-BLD, SKRAPL/PWHRED, SKRAPL/*BLD
but occupies	PWUT/OBG/PAOEU/-S
Mickey Mouse	PHEUBG/KWREU/PHOUS, PHEUBG/KWREU/PHO*US
aloof	A/HRAOF
aromatics	A/ROE/PHAT/EUBG/-S
intra-airport	SPWRA/AEUR/PORT, SPWRA/AEURPT, EUPB/TRA/AEUR/PORT, EUPB/TRA/AEURPT
actuator	ABGT/WAEUT/O*R
reconveying	RE/KOPB/SRAEU/-G
tuba	TAOU/PWA, TAOUB/PWA
ream	RAOEPL
the image	-T/EUPL/APBLG
scud	SKUD
Zulu	S*U/HR*U
goods{.}	TKPWAOFPDZ
somnambulist	SOPL/TPHAPL/PWHREUFT
marking	PHARBG/-G
Actifed	ABGT/TPED, ABG/TEU/TPED
cub	KUB
achromatic	ABG/RO/PHAT/EUBG
field glasses	TPAOELD/TKPWHRAS/-S
login	HROG/*EUPB
cheep	KHAO*EP
balminess	PWAUPL/PH*EU/*PBS, PWAU/PH*EU/*PBS
marketers	PHARBGT/ERS, PHARBG/ET/ERS
lugging	HRUG/-G
regal	RAOEG/A*L
sufficiently	SUF/HREU, SUFL, STPEURBL
parked	PARBGD, PARBG/-D
mishmash	PHEURB/PHARB
tumbler	TUPL/PWHRER
saquinavir	SA/KWEUPB/SREUR, SA/KWEUPB/SREUF
propensity to	PRO/PEPBS/TOEU
reprimanded	RE/PREU/PHAPBD/-D, REP/PHAPBD/-D
codifies	KOD/TPAOEU/-S
permanence	PERPL/TPHEPBS
airmail	AEUR/PHAEUL
scout	SKOUT
guanine	TKPWAOUPB/AO*EPB, TKPWAOUPBL/AOEUPB
fielding	TPAOELD/-G
admit	ADZ/PHEUT, AD/PHEUT, TKPHEUT
vicious	SREURB/-RBS, SREURBS, SREURB/OUS, SREURT/WUS
digressed	TKAOEU/TKPWRES/-D
rats	RATS
maculopapule	PHABG/HRO/PAP/AOUL
meshwork	PHERB/WO*RBG
Reggae	RAEU/TKPWAEU
Leonardo	HROEU/TPHAR/TKO, HRAOE/TPHAR/TKOE, HRAOE/KWROE/TPHAR/TKOE, HRAOE/TPHARD/SKWRO, HROEU/TPHARD/SKWRO, HRO*EU/TPHAR/TKO, HRAOE/KWRO/TPHAR/TKOE, HRO*EU/TPHAR/TKOE
Gyllenhaal	TKPWEUL/HREPB/HAUL
Jeremiah	SKWRER/PHAOEU/KWRA
Hope	HO*EP
judgments	SKWRUPLTS, SKWRUFPLT/-S, SKWRUPBLG/-PLTS
and he can't	SKPEBG/-PBT
oxygen	OBGS/SKWR-PB, OBGS/SEU/SKWREPB, OBG/SEU/SKWREPB, OBGS/SKWREPB, SKWRO*EUPBGS, OBGS/SKWREB
blackjack	PWHRABG/SKWRABG
symporter	SEUPL/PORT/*ER
LaTeX	HRAEU/T*EBG, HRAEU/TEBG
Andreas	APB/TKRAEU/KWRAS, ARPBD/KWRAS, APB/TKRAEU/AS, APB/TKRAEUS
unreasonable	UPB/RAOEPBL
worth{?}	STPWHO*RT
{^:20}	20*BG
seawards	SAE/WA*RD/-S
compensated	KPEPBS/AEUTD, KPEPB/SAEUT/-D, KPEPBS/A*LT/-D, KPEPB/SAEUT/-DZ
you hear it	U/THAER
pooch	PAOFP
8 1/2 x 11	-8/TPHAF/PWEU/1/1
chiropractors	KAOEU/ROE/PRABG/TORS
discriminative	TKEUS/KREUPL/TPHA/T*EUF
Amgen	APL/SKWREPB
cubicles	KAOUB/K-LS
tabulated	TAB/HRAEUT/-D
suitability	SAOUT/-BLT, SAOUT/ABLT
silkiness	SEUL/KEU/*PBS
dowse	TKOUZ
et alii	ET/AL/KWRAOEU, ET/AEUL/KWRAOEU
eyeglasses	AOEU/TKPWHRAFS, AOEU/TKPWHRAS/-S
Mafia	PHAF/KWRA
Manorialism	PHAPB/O*R/A*L/EUFPL
de minimis	TKE/PHEUPB/PHEUS, TKE/PHEUPB/PHUS, TKE/PHEUPLS
adversaries	AD/SRERS/REUS
frisson	TPREUS/O*PB
important that	TPHAORPB
nab	TPHAB
crouch	KROUFP
prejudice	PREPBLG, PREPBLG/TKEUS, PREPBLG/TKUS
Hartmann	HART/PHA*PB
braze	PWRAEZ
recuperated	RAOE/KUP/RAEUT/-D, RE/KAOUP/RAEUT/-D
path	PA*T
nary	TPHAEUR/KWREU
flocks	TPHROBGS
high density	HAOEU/TKEPBS/TEU
shirking	SHEURBG/-G
trapezoid	TRAP/SO*EUD
Randall Bramblett	RAPB/TKAL/PWRAPL/HRET
ortho	ORT/THO
colloquially	KHROEBG/HREU
abase	A/PWAEUS
cortisone	KORLT/SOEPB, KOR/TEU/SO*EPB, KORT/SO*EPB, KORT/SOEPB, KOR/TEU/SOEPB
Bahamas	PWA/HA/PHAS, PWA/HAPL/PHAS, PWA/HAPL/PHA/-S, PWA/HAPLS, PWA/HA/PHAS/-S
Schnabel	STPHAEUBL
political	PO/HREUT/KAL, PHREU/K-L, PHREUT/KAL, PHREUT/K-L, PHREUL, PHROEUT/PHR*EUT/K-L, PHREUS/PHR*EUT/K-L, POE/HREUT/KAL, POE/HREUT/K-L, PHREUS/K-L
which has	KH-Z
Ostragoth	OS/TRA/TKPWO*T
manifests	PHAPB/TPEFTS, PHAPB/TPEFT/-S
ptosis	TO*ES/EUS, P/TOES/EUS, P-T/OES/EUS, POET/SEUS, TPOES/EUS
wax-up	WABGS/SKWRUP
orthotic	OR/THOT/EUBG
sultrier	SUL/TREU/ER, SULT/REU/ER
articulately	AR/TEUBG/HRAEUT/HREU, AR/TEUBG/HRAT/HREU, AR/TEUBG/HRAEULT
boxes	PWOBGS/-S
Cleopatra's Needle	KHRAOE/PAT/RA/AES/TPHAOED/*L
inactively	TPHABG/TEUFL
{^ry}	REU
workbook	WORPBG/PWAO*BG, WORBG/PWAOBG
flushing	TPHRURB/-G, TPHRURBG, TPHRURPB/-G
chez	SHA*EU, KHEZ
notebooks	TPHOEBGS, TPHOET/PWAOBG/-S, TPHOET/PWAOBGS
prevaricate	PRE/SRAEUR/KAEUT, PRE/SRAR/KAEUT
Nouakchott	TPHOU/AUBG/SHOT
spasmodic	SPAS/PHOD/EUBG, SPHAS/PHOD/EUBG, SPAZ/PHOD/EUBG
Anki	APB/KEU
function	TPUBGS, TPUPGS, TPUPBGS
nightjar	TPHAOEUT/SKWRAR
blue-green	PWHRAOU/TKPWRAOEPB, PWHRAO*U/TKPWRAOEPB, PWHRU/TKPWRAOEPB
collie	KOL/HRAOE, KOL/AO*E, KOL/HREU
aneroid	APB/ROEUD
appetite	AP/PE/TAOEUT, AP/TAOEUT
hypercritical	HAOEU/PER/KREUT/KAL
Neanderthal	TPHAOERPBD/THAL, TPHAOEPBD/*ER/THAL, TPHE/APBD/*ER/THAL, TPHA*L, TPHAOE/APBD/THAL
{cortico^}	KORT/KO, KORT/KOE
feuding	TPAOUD/-G
etymological	ET/PHOLG/K-L
oh my god	OPLG
Google Group	TKPWAOLG/TKPWROUP
ah,	AERBGS, HA*ERBGS
gads	TKPWADZ
Noah's Ark	TPHOE/WA/AES/ARBG
eviscerated	AOE/SREUS/RAEUT/-D
mariticide	PHA/REUT/SAOEUD, PHA/REUT/SAO*EUD
Sputnik	SPUT/TPHEUBG
itching	EUFPG, EUFP/-G
Kumamoto	KAO*/PHOE/TA
bestrode	PWE/STROED
liberal	HREUBL, HR*EUB/RAL, HREUB/RAL
originally	OPBLG/HREU, ORPBLG/TPHAEL, O/REUPBLG/HREU, ORPBLG/HREU, OFRPBLG/HREU, ORPBLG/SKWREUPB/HREU, ORPBL/HREU, ORPBLG/TPHAL/HREU, O*RPBLG/HREU, O*R/SKWREUPB/HREU, OEURPBLG
barge	PWARPBLG
spend so	SPOEPBD
mystify	PH*EUS/TPEU, PHEUFT/TPAOEU, PHEUS/TEU/TPEU, PHEUFR/TPAOEU
Papadopoulos	PAP/TKOP/HROS, POP/TKOP/HROUS, PAP/TKOP/HROUS
lapidary	HRAP/TKAEUR
Chavez	KHAF/EZ
del credere	TKEL/KRE/TKER/RAOE, TKEL/KRAEU/TKER/RAOE
brow	PWROU
medicated	PHED/KAEUTD, PHED/KAEUT/-D, PHA*EUBGT/-D
streetlight	STRAOET/HRAOEUT
coalesced	KOE/HRES/-D
tenter	TEPB/TER
jauntily	SKWRAUPBT/HREU
laum	HRAUPL
salvaged	SAL/SRAPBLG/-D, SAL/SRAPBLGD
nettles	TPHET/-LS
about achievement	PW/A/KHAOEF/*PLT
moneymaker	PHOPB/TPHAOE/PHAEUBG/ER, PHUPB/PHAEUBG/ER
chaotically	KAEU/OT/KHREU
immediate release	PHAOED/RAE/HRAOES
CRT	KR-RBGS/R*T
low rez	HROE/R*EZ
employer	EPL/PHROEUR, PHRO*EUR, PHROEUR, EPL/PHROEU/KWRER, PHROEU/*ER
benzoyl peroxide	PWEPBZ/*L/PER/OBGS/AOEUD
reformer	RE/TPORPL/*ER
toothbrushes	TAO*T/PWRURBS
cherie	SHER/AO*E, KHER/AO*E
condescension	KAUPB/TKE/SEPBGS
off-white	AUF/WHAOEUT
fine	TPAOEUPB
zygomatico	SAOEUG/PHAT/KO
Embleton	EPL/PWEL/TO*PB, EPL/*L/TO*PB
r	R*/SP-S
magnetometer	PHAG/PHAOERT, PHAG/TPHOPL/TER
instance	STPHAPBS, EUPB/STAPBS, EUPB/TAPBS, EUPBS/TAPBS, EUPB/TAPBS/-S
ruled	RAOUL/-D, RAOULD
rollers	ROL/*ER/-S, ROEL/ERS
Thai	TAO*EU
self-destruct	SEF/TKAOE/STRUBGT
simmer	SEUPL/PHER, SEUPL/ER, SEUPL/*ER
echoing	EBG/OEG
follower	TPOL/*ER
jostling	SKWROS/-LG, SKWROS/HR-G, SKWRO*S/-LG
just a minute{,}please	SKWRAPLTS, SKWREUPLTS
portability	PORT/-BLT
inhomogeneity	UPB/HO/PHOPBLG/TPHAEUT
unbuckled	UPB/PWUBG/-LD
renin	RAOEPB/*EUPB, REPB/*EUPB
multiplex	PHUL/TEU/PHREBGS, PHULT/PHREBGS
figuring	TPEUG/-G, TPEUG/KWRURG
glimmer	TKPWHREUPL/ER, TKPWHREUPL/*ER, TKPWHREUPL/PHER, TKPWHREURPL
miscarriage	PHEUS/KAEUR/APBLG, PHEUS/KAEURPBLG
Kigali	KEU/TKPWAU/HRAOE
New Jersey Turnpike	TPHURPBLG/TURPB/PAOEUBG
Mencia	PHEPB/SAOE/KWRA
brigades	PWREUG/TKPWAEUDZ, PWREUG/AEUDZ, PWREUG/AEDZ, PWREU/TKPWAEUDZ
dependent	TKPEPBD/TKEPBT, TKE/EPBT, TKPEPB/TKEPBT, TKPEPBD/EPBT, TKPEPBT, TKEPBD, TKAOE/PEPBD/EPBT, TKE/PEPBD/EPBT, TKE/PEPT, TKE/PEPB/TKEPBT, TK-P/EPBT, TKAEPBT, TK*EPBT, TKE/TKEPBT, TK*EFPBT, TKE/PEPBT
seriously	SAOERLS/HREU, SAOER/SHREU, SAOER/KWRUS/HREU, SER/SHREU, SAOERLS
Quakers	KWAEUBG/*ER/-S, KWA*EUBG/ERS
Rogaine	ROE/TKPWAEUPB
gladness	TKPWHRAD/-PBS
bowery	PWOUR/REU, PWOU/REU
glyburide	TKPWHREUB/RAOEUD, TKPWHRAOEUB/RAOEUD, TKPWHRAOEU/PWRAOEUD
Hulka	HUL/KA, H*ULG/KWRA
imperceptibly	EUPL/PER/SEPT/PWHREU
sold it	STOELD
genotyping	SKWRAOEPB/SKWRAOPB/TAOEUP/-G, SKWRAOEPB/TAOEUPG
aldosterone{?}	ALD/STER/STPHOEPB
herbaceous	HERB/AEURBS, HER/PWAEURB/OUS, HER/PWAEURBS, *ER/PWAEURBS, *ER/PWAEURB/OUS, HERB/AEURB/OUS
swells	SWELS, SWEL/-S
retard	RE/TARD, RAOE/TARD
Beethoven	PWHAEUFPB, PWAEU/THOEFPB, PWAEU/TOEFPB, PWHOEFPB, PWAEUT/OEFPB, PWA*EUT/OEFPB
astronomically	AS/TRO/TPHOPL/KHREU, AFRT/TPHOPL/KHREU, AFT/TPHOPL/KHREU
affirm	A/TPEURPL
synthesizer	S*EUPBT/SAOEUFR, SEUPB/THE/SAOEUZ/ER, S*EUPBT/SAOEUZ/*ER, S*EUPBT/SAOEUZ/ER
exhort	EBGS/ORT, EBGS/HORT, KPHORT
a place	AEU/PWHRAEUS
shippable	SHEUP/-BL
haggles	HAG/-LS
slope	SHROEP
vivacious	SRAOEU/SRAEURB/OUS, SREU/SRAEU/-RBS, SRAOEU/SRAEURB/-RBS, SREU/SRAEURBS, SRAOEU/SRAEU/-RBS, SREUF/AEURBS, SREU/SRAEURB/OUS, SRAOEU/SRAEURBS, SREU/SRAEURB/-RBS
Montesquieu	PHOPBT/SKAOU, PHOPBLT/SKAOU
jettisons	SKWRET/SO*PB/-S
recapitulating	RAOE/KAPT/HRAEUT/-G, RE/KAPT/HRAEUT/-G
Lowe	HRO*E
alerts	A/HRERTS
stockades	STOBG/KAEUDZ, STOBG/A*EUDZ, STOBG/A*EDZ, STOBG/AEDZ
deposits	TKO*FTS, TKPOS/EUTS
udders	UD/ERS
peeling	PAOEL/-G, PAOELG
bodywork	PWOED/WO*RBG
tootling	TAOT/HREUPBG
yore	KWROER
Costner	KOFT/TPHER
slipknot	SHREUP/TPHO*T
notwithstanding	TPHOLT/W/STAPBD/-G, TPHOT/W*EUT/STAPBD/-G, TPHAPBG
revue	RE/SRAO*U, REF/AO*U, RE/SRU
gravitational	TKPWRA*F/TAEUGS/TPHAL
purporting	PUR/PORT/-G
Butte	PWAO*UT
Greenwald	TKPWRAOEPB/WAULD
backspacer	PWABG/SPAEUS/ER
manipulative	PHA/TPHEUP/HRAEUT/*EUF, PHA/TPHEUP/KWRAOU/HRAEUT/*EUF, PHA/TPHEUP/KWRAOU/HRA/T*EUF, PHA/TPHEUP/HRAEU/T*EUF, PHA/TPHEUP/KWRU/HRAEU/T*EUF, PHA/TPHEUP/HRA/T*EUF, PHA/TPHEUP/KWRAOU/HRAEU/T*EUF, PHAPB/EUP/HRAT/EUF, PHA/TPHEUP/KWRU/HRAEUT/*EUF, PHAPB/EUP/TEUF, PHA/TPHEUP/KWRU/HRA/T*EUF
guns	TKPW-PBS
pin	PEUPB
developer	TKE/SREL/OP/ER, TKE/SREL/PER, SREL/O*ER/*ER, SR*ERL, TKWOP/ER, SREL/*ER, SHR*ER
dignitary	TKEUG/TPHEU/TAEUR, TKEUG/TPHEU/TAER, TKEUPBG/TAER
moist	PHOEUFT
Guns and Roses	TKPW-PB/-S/APBD/ROES/-S
inhabited	EUPB/HABT/-D
Ambrose	APL/PWROES
mercaptopurine.	PHER/KAP/TO/PAOUR/AOEUPB/-FP
{^enzepine}	EPBZ/PAOEUPB
excusat	EBGS/KAOU/SAT, EBGS/KAOU/SA*T
tattoo	TAT/TAO, TA/TAO
they use	THE/AOUSZ
ambulatory	A*PL/TOER, APL/HRA/TOER, APL/PWAOU/HRA/TOEUR, APL/PWHRA/TOEUR, APL/PWHRA/TREU, APL/PWHRA/TOER, APL/PWAOUL/TOEUR
MacLeod	PH-BG/KHROUD, PHABG/HROD
stoke	STOEBG
Madison	PHA*D/SOPB, PHA/TKEU/SOPB, PHAD/TKEU/SOPB, PHAD/SO*PB
Shelburne	SHEL/PW*URPB
intramuscular	TPHRUFBG, EUPBT/PHUFBG, URPBT/PHUFBG/HRAR, EURPBT/PHUFBG/HRAR, EURPBT/PHUFBG, EURPBT/PHUFBGS/HRAR
businesswoman	PWEUZ/WOPL/PHAPB, PWEUZ/*PBS/WOPL/APB, PWEUZ/WOPL, PWEUZ/*PBS/WOPL/PHAPB, PWEUZ/*PBS/WOPL
ampulla	APL/PAOU/HRA, A*PL/HRA
monocular	PHOPB/OBG/HRAR, PHO*PB/OBG/HRAR
bluffing	PWHRUFG
hydroxydoxorubicinol	HAOEURD/OBGS/KWREU/TKOBGS/RAOUB/SEUPB/OL
touchy	TOUFP/KHEU, TUFP/KHEU, TUFP/KWREU
parallelism	PRA/HREL/EUFPL, PAR/HREL/EUFPL
vivacity	SREU/SRAS/TEU, SRAOEU/SRAS/TEU
epoetin alfa	AOE/POEUT/*EUPB/AL/TPA
broadcasts	PWAUD/KAFTS
het	HET
re:	REFRPLT
02	20EU
East India	AOEFT/EUPBD/KWRA
with our	WOUR
disparity	TKEUS/PAEURT, TKEUS/PAEUFRT, TKEUS/PAERT, TKEUS/PAEURLT, TKEUS/PAR/TEU, TEUS/PAEURT, TKEUS/PAEUR/TEU
palmetto	PAL/PHET/TOE, PAUPL/PHET/TOE, PAUPL/ET/TOE
thus	THUS
very well	SR-RL
San Giovese	SAPB/SKWROE/SRAEUS
coterminous	KOE/TERPL/TPHOUS, KOE/TERPL/TPHUS
JCR	SKWR-RBGS/KR*R
starlight	STAR/HRAOEUGT, STARLGT, STAR/HRAO*EUGT, STAR/HRAO*EUT
galactosidase	TKPWHRABGT/OES/EUD/AEUZ, TKPWHRABGT/OES/AOEUD/AEUZ
Lifetime Achievement Award	HRAOEUF/TAOEUPL/A/KHAOEFPLT/A/WARD, HRAOEUF/TAOEUPL/A/KHAOEF/*PLT/A/WARD
fibular	TPEUB/HRAR
mesothelium	PHAOES/THAOEL/KWRUPL/KW-BG, PHES/THAOEL/KWRUPL
pavilion	PAFL/KWROPB, PA/SREUL/KWROPB
fungible	TPUPBG/-BL, TPUPB/SKWREUBL
rezoned	RAOE/SO*EPBD, RE/SO*EPB/-D
jib	SKWREUB
end	EPD, EPBTD, EPBD
aptly	APT/HREU
hallucinating	HAL/HRAOUS/TPHAEUT/-G, HAL/AOUS/TPHAEUT/-G
pinkeye	PEUPBG/AO*EU, P*EUPBG/AO*EU
disliking	TKEUS/HRAOEUBG/-G
robotic	RO/PWOT/TEUBG, ROE/PWOT/EUBG
sedulous	SEPBLG/HROUS, SEPBLG/KWRAOU/HROUS, SEPBLG/KWRU/HROUS, SED/HROUS, SED/KWRAOU/HROUS, SED/KWRU/HROUS
glum	TKPWHRUPL
screwing	SKRAOUG, SKRAOU/-G, SKRAOUPBG
distinct	TKEUS/T*EUPBGT, TKEUPBGT, TKWEUPBGT, TKEUS/TEUPBG, STKEUPBGT, TKEUS/T*EUPBG, STKEUPBG, TKEUS/TEUPBGT, SREU/STKEUPBG
flagella	TPHRA/SKWREL/HRA, TPHRA/SKWREL/SKWRA, TPHRA/SKWREPBLG/HRA
Jesuits	SKWRES/WEUTS
Juvenile Court	SKWRO*URT
splen	SPHREPB
explicitly	EBGS/PHREUT/HREU, EBGS/PHREUS/EUT/HREU, EBGS/PHREUFT/HREU, EBGS/PHREUFLT
conjured	KAUPB/SKWRUR/-D
Balthus	PWAL/THUS
immigrate	EUPL/PHEU/TKPWRAEUT, *EUPL/TKPWRAEUT, EUPL/TKPWRAEUT
indoleacetic	EUPB/TKOEL/A/SAOET/EUBG
Lia	HRAOE/KWRA*
{^s arrive}	AS/RAOEUF
nails	TPHAEULS
olive	OL/*EUF, OL/EUF, OL/HREUF, OE/HREUF, OL/HR*EUF
precarious	PRE/KAEUR/KWROUS, PRE/KAEUR/KWRUS, PRE/KAR/KWROUS, PRAOE/KAEUR/KWRUS, PRE/KAEURS
clattered	KHRAT/ERD, KHRAT/ER/-D
visceral	SREUS/ERL, SEUS/RAL, SR*EUFL, SREUFRL, SREUS/RAL, SREUS/ER/RAL
tighter	TAOEUT/*ER, TAO*EURT
legatos	HREG/A*T/OS
blindfolds	PWHRAOEUPBD/TPOLDZ, PWHRAOEUPBD/TPOELDZ
Canada Post	KAPB/TKA/POEFT
parable	PA*R/-BL, PAR/-BL, PAEURBL, PA/RABL, PAEUR/-BL
Buckminster	PWUBG/PHEUPB/STER
pirate	PAOEURT, PAOEU/RAT, PAOEUR/A*T, PAOEUR/RAT
sterilizer	STER/HRAOEU/S*ER, STER/HRAOEUZ/ER, STERL/AOEUZ/ER
rudely	RAOUD/HREU
desmosome	TKES/PHO/SOEPL, TKES/PHO/SO*EPL
John Fremont's	SKWROPB/TPRE/PHOPBT/AES
readier	RED/KWRER
Yours very truly{,}	KWR*FT
digraph	TKEU/TKPWRAF, TK*EU/TKPWRAF
{every^}	*EFR
Chattanooga	KHAT/TPHAO/TKPWA
generosity	SKWREPB/ROUS/TEU, SKWREPB/ROS/TEU, SKWREPB/ROFT
Linus	HRAOEUPB/SKWRUS
Caleb	KAEUL/EB, KAEU/HREB
Nellie	TPHEL/AO*E
cutesy	KAOUT/SEU
stresses	STRES/-S, STREFS
necessarily	TPHES/SAEUR/HREU, TPHES/REU/HREU, TPHOELS, TPHES/HREU, TPHELS, TPHELTS, TPHELGS
bischloethylamine	PWEUS/KHRO/*EUT/*L/A/PHAOEUPB
logo	HROEUG, HROE/TKPWOE, HRO/TKPWO
objectivity	OB/SKWREBG/T*EUF/TEU, OBT/*EUF/TEU, OB/SKWREBGT/T*EUF/TEU, OB/SKWREBGT/*EUF/TEU, OB/SKWREBG/T*EUFT, OB/TEUFT, OBT/T*EUF/TEU, OB/EUFT/*EUFT
flambe	TPHRAPL/PWAEU
scienter	SAOEU/EPB/TER, SAOEUPB/TER
anticipation	A*PBT/PAEUGS, SPA*EUGS, APB/TEUS/PAEUGS, SPAEUPGS, APBTS/PAEUGS, SPAEUGS, APBT/PAEUGS
snorting	STPHORT/-G
coccus	KOBGS/SKWRUS
accretion	A/KRAOEGS
policing	PHREUS/-G
vasa vasorum	SRAEUS/SRA/SORPL
psycho	SAOEUBG/OE, SAOEU/KOE, SAOEUBG/KWRO, SAOEUBG/KOE, SKOE, SAOEUBG/SKWRO*, SAOEUBG/SKWRO
pastures	PAS/TAOURS, PAS/KHURS
pleasantry	PHREZ/SAPBT/REU, PHREZ/APB/TREU, PHREZ/SAPB/TREU, PHREZ/APBT/REU
Swith	SW*EUT
Olympus	O/HREUFRP/PUS, OE/HR*EUPL/SKWRUS, O/HREUPL/PUS, OE/HREUPL/PUS
formality	TPORPL/AL/TEU, TPORPL/PHAL/TEU, TPAUR/PHALT, TPOR/PHAL/TEU, TPORPL/ALT, TPOR/PHALT
personalty	P*ERPBL/TEU, P*ERS/TPHAL/TEU, P*ERPBLT
integrative	SPWE/TKPWRAEU/T*EUF, EUPB/TE/TKPWRAEU/T*EUF, EUPBT/TKPWRAEUT/*EUF, SPWE/TKPWRAEUT/*EUF, EUPB/TE/TKPWRAEUT/*EUF
diarthrodial	TK*EU/A*RT/ROED/KWRAL
latitudinal	HRAT/TAOUD/TPHAL
settles	SET/-LS, SET/*LS
calorimeter	KAL/REUPL/TER
mincemeat	PHEUPBS/PHAET
open	O/PEPB, OEP, OEP/-PB
reify	RE/EUF/AOEU
toasts	TOEFT/-S, TOEFTS
may	PHAE, PHAEU
proprietarily	PRO/PRAOEU/TAEUR/HREU
connection	KEBGS, KOPB/TPH*EBGS
Lucinda	HRAOU/SEUPBD/TKA, HRAOU/SEUPB/TKA
Weber	WEB/*ER, W*EB/ER
early	ERL, *ER/HREU, ER/HREU, ERL/HREU
blood streaming	PWHRAOD/STRAOEPL/-G
Powazek	POU/S*EBG
lucrandi	HRAOU/KRAPB/TKAOEU
stepfather	STEP/TPAER, STEP/TPA*T/ER, STEP/TPA/THER, STEP/TPAUR
bridge	PWREUPBLG
healthily	H*ELT/HREU
Melvin	PHEFL/*EUPB, PHEL/SR*EUPB, PHEL/SREUPB, PH*EL/SREUPB
relationship to	TRO*EUP
taillight	TAEUL/HRAOEUGT, TAEUL/HRAOEUT, T*LT
Monahan	PHOPB/HAPB
bellhop	PWEL/HOP
halving	HAF/-G
Wally	WAL/KWREU
mignonette	PH*EUPB/KWROPB/TPHET
assignation	AS/SEUG/TPHAEUGS, AS/EUG/TPHAEUGS
deserved	TKAOE/SER/-FD
nonenal	TPHOPB/*EPB/OL
window{.}	WEUPB/TKOEFPLT
metabolite	PHET/PWOL/AOEUT, PHE/TAB/HRAOEUT, PHET/PWHRAOEUT, PHET/PWHREUT, PHET/PWHROEUT
corrector	KOR/REBG/TOR, KREBG/TOR, KREBGT/TOR
shushes	SHURB/-S
duffel	TKUFL, TKUF/EL
delipidated	TKE/HREUPD/A*T/-D
kvetch	KW*EFP
neglect	TPHEG, TPHEG/HREBGT, TPHE/TKPWHREBGT, TPHEG/TKPWHREBGT
he did both	TKE/PWO*ET
rejecting	RE/SKWREBGT/-G, RAOE/SKWREBGT/-G
opening statement	OEPGT
{^itiousness}	EURPBS
Shari	SHAR/*EU
Keats	KAOET/-S
Arab	AR/AB, AEUR/ABG, AEUR/AB, A*R/AB, A*EURB, AR/RAB
causa	KAU/SA*
laugh	HRAF
embolus	EPL/PWOE/HRUS, EPL/PWO/HRUS, EPL/PWHRUS
esophagitis	TKPWAO*EUTS, AOE/SOF/SKWRAOEUTS, AOE/SOF/TKPWAOEUT/EUS
irrigated	EUR/TKPWAEUTD, EUR/TKPWAEUT/-D
death penalty	TK*EPLT
pined	PAOEUPB/-D
core	KO*ER, KOR
Abram	AEUB/RAPL
fullest	TPUL/EFT
aerospace	AEUR/OE/SPAEUS, AER/RO/SPAEUS, AER/SPAEUS, AEUR/SKWRO/SPAEUS
inspection	EUPB/SPEPGS, SPEBGS, TPH-PGS, EUPBS/SPEBGS, EUPB/SP*EBGS, EUPB/SPEBGS, EUPB/SPEGS
lambaste	HRAPL/PWA*S
genius	SKWRAOEPBS, SKWRAOEPB/KWRUS, SKWRAOEPB/KWROUS, SKWRAOEPBS/KWRUS
vampiric	SRAPL/PEUR/EUBG
